Context: Bee Swarm Simulator - Mutation

Datamined information: The probabilty of getting a certain mutation, and the probability of getting a certain strength of a mutation based on the bee's level.
Date of datamined file: December 19th, 2024
An example of a mutated bee's hive slot. Note that the number depicting the bee's level is colored.
Mutations are a mechanic that buffs the stats of certain bees in the player’s hive. Mutated bees have a different colored level number in their hive slot and on their wings than the standard white, respective to what stat it's mutated with. A mutated bee can become temporarily radioactive, and the radiation can spread to neighboring bees in the hive.
Every time the player feeds a bee a bitterberry, it has a 0.1% chance to get a random mutation. Royal jellies and star jellies has a 0.02% chance of turning a bee into a mutated bee. Atomic treats guarantee a mutation when fed to a bee, regardless of whether it is radioactive or not.
If the bee is radioactive:
* The chance of a mutation when using a bitterberry is increased to 1%,
* The chance of a mutation when using a royal jelly or star jelly is increased to 1%,
* Using many special treats (sunflower seeds, strawberries, blueberries, pineapples, moon charms) have a 0.004% chance to mutate the bee. This is irregardless of whether the bee likes the treat or not.
Note that using a royal jelly or an egg on a mutated bee will almost certainly make the bee lose its mutation, just like gifted bees losing their gifted status.
A mutated bee's GUI on discovery shows a pop-up to the left of the bee, which shows the player the mutation the bee has gained, with a text box reading,  ☢️ {Bee type} gained a mutation! (+x% [Mutation Buff]) ☢️
Possible Bee Bonuses[]
Mutations are separate from every other modifiers in the game, meaning that:
* If a mutation is given as a percentage, it is multiplied directly to the bee's base stats after every other modifiers are applied.
* If a mutation is given as a whole number, it is added to the bee's base stats before multiplicative modifiers are applied.
Fact: The Stat in Mutation has/costs Chance, Range, Color.
Fact: The %Convert Amount in Mutation has/costs 17.2414%, 10%-30% Increments of 1%, #feca41.
Fact: The +Convert Amount in Mutation has/costs 8.6207%, 20-80 Increments of 1, #feca41.
Fact: The %Attack in Mutation has/costs 17.2414%, 5%-20% Increments of 1%, #e83a36.
Fact: The +Attack in Mutation has/costs 4.3103%, 1-2 Increments of 1, #e83a36.
Fact: The %Gather Amount in Mutation has/costs 17.2414%, 10%-30% Increments of 1%, #ceff80.
Light Green
Fact: The +Gather Amount in Mutation has/costs 8.6207%, 2-10 Increments of 1, #ceff80.
Light Green
Fact: The %Energy in Mutation has/costs 17.2414%, 10%-40% Increments of 1%, #ac8c58.
Fact: The +Instant Conversion in Mutation has/costs 4.3103%, 8%-20% Increments of 1%, #f3fe1e.
Fact: The +Movespeed in Mutation has/costs 1.7241%, 2-6 Increments of 1, #4fb8f0.
Fact: The +Critical Chance in Mutation has/costs 1.7241%, 1%-3% Increments of 1%, #47cf72.
Fact: The %Ability Rate in Mutation has/costs 1.7241%, 1%-5% Increments of 1%, #b8a5ed.
The highest mutation value a bee can get depends on its level. For more information, see #Mutation strength.
Mutation strength[]
_Some of the information in this section has been modified for better reading. For the raw data, visitModule:Mutation Stats and the data it uses._
The upper bound of a mutation increases with the level of the mutated bee, allowing it to receive better mutations. More specifically, let _lvl_ be the level of the mutated bee:
* l v l P e r c e n t a g e = ( l v l − 1 ) / ( 25 − 1 )
* The upper bound of a mutation is scaled between the minimum and maximum upper bound of the mutation, based on _lvlPercentage_ :  u p p e r B o u n d = m i n U p p e r B o u n d + ( m a x U p p e r B o u n d − m i n U p p e r B o u n d ) ∗ l v l P e r c e n t a g e  .
* The lower bound of a mutation also go through this process. However, the minimum and maximum lower bound of any mutation is the same, so there are no changes.
After that, the _randomBias_ function is invoked with the below parameters, and the result is rounded to the nearest interval to give the final result:
` randomBias(lowerBound, upperBound, lowerBound, 0.5) `
This gives a random value between _lowerBound_ and _upperBound_ , with a bias to values near _lowerBound_. This value is then rounded to the nearest interval to get the bee's mutation strength.
For more information on how this function works, see the designated module page.
The lower bound, minimum upper bound and maximum upper bound, and the interval of a mutation can be found below.
Show/hide table
Fact: The Stat in Mutation has/costs Lower bound, Minimum upper bound, Maximum upper bound, Interval.
Fact: The %Convert Amount in Mutation has/costs 10%, 15%, 30%, 1%.
Fact: The +Convert Amount in Mutation has/costs 20, 40, 80, 1.
Fact: The %Attack in Mutation has/costs 5%, 10%, 20%, 1%.
Fact: The +Attack in Mutation has/costs 1, 1, 2, 1.
Fact: The %Gather Amount in Mutation has/costs 10%, 20%, 30%, 1%.
Fact: The +Gather Amount in Mutation has/costs 2, 6, 10, 1.
Fact: The %Energy in Mutation has/costs 10%, 30%, 40%, 1%.
Fact: The +Instant Conversion in Mutation has/costs 8%, 14%, 20%, 1%.
Fact: The +Movespeed in Mutation has/costs 2, 4, 6, 1.
Fact: The +Critical Chance in Mutation has/costs 1%, 1%, 3%, 1%.
Fact: The %Ability Rate in Mutation has/costs 1%, 2%, 5%, 1%.
The tables below give the percentage of a mutation landing within a given stat range at a certain level. For the percentage of a mutation landing within an exact value, see the designated subpage.
_Results are rounded to the 3rd-5th decimal digits. Note that the precise percentages may be off due to floating point errors._
Show/hide tables
* %Convert Amount
* +Convert Amount
* %Gather Amount
* +Gather Amount
* +Instant Conversion
* +Movespeed
* +Critical Chance
* %Ability Rate
Fact: The Level in Mutation has/costs Stat ranges, Average.
Fact: The 10%-13% in Mutation has/costs 14%-17%, 18%-21%, 22%-25%, 26%-29%, 30%.
Fact: The 1 in Mutation has/costs 89.934492%, 10.065508%, \-, \-, \-, \-, 11.8633%.
Fact: The 2 in Mutation has/costs 83.488104%, 16.511896%, \-, \-, \-, \-, 12.0996%.
Fact: The 3 in Mutation has/costs 76.939671%, 23.060329%, \-, \-, \-, \-, 12.3344%.
Fact: The 4 in Mutation has/costs 70.558556%, 29.441444%, \-, \-, \-, \-, 12.5691%.
Fact: The 5 in Mutation has/costs 64.693737%, 35.306263%, \-, \-, \-, \-, 12.8054%.
Fact: The 6 in Mutation has/costs 59.717296%, 39.675204%, 0.6075%, \-, \-, \-, 13.0398%.
Fact: The 7 in Mutation has/costs 55.451774%, 42.402628%, 2.145598%, \-, \-, \-, 13.2741%.
Fact: The 8 in Mutation has/costs 51.754989%, 43.947979%, 4.297032%, \-, \-, \-, 13.51%.
Fact: The 9 in Mutation has/costs 48.520303%, 44.632008%, 6.847689%, \-, \-, \-, 13.7442%.
Fact: The 10 in Mutation has/costs 45.666167%, 44.683013%, 9.65082%, \-, \-, \-, 13.9785%.
Fact: The 11 in Mutation has/costs 43.129158%, 44.26619%, 12.604652%, \-, \-, \-, 14.2139%.
Fact: The 12 in Mutation has/costs 40.859202%, 43.502776%, 15.537232%, 0.10079%, \-, \-, 14.4483%.
Fact: The 13 in Mutation has/costs 38.816242%, 42.482833%, 18.043141%, 0.657784%, \-, \-, 14.6827%.
Fact: The 14 in Mutation has/costs 36.96785%, 41.273955%, 20.157821%, 1.600375%, \-, \-, 14.9176%.
Fact: The 15 in Mutation has/costs 35.287493%, 39.927322%, 21.948175%, 2.83701%, \-, \-, 15.1521%.
Fact: The 16 in Mutation has/costs 33.753254%, 38.48197%, 23.467744%, 4.297032%, \-, \-, 15.3865%.
Fact: The 17 in Mutation has/costs 32.346868%, 36.96785%, 24.759767%, 5.925515%, \-, \-, 15.6211%.
Fact: The 18 in Mutation has/costs 31.052994%, 35.489136%, 25.778374%, 7.673079%, 0.006417%, \-, 15.8557%.
Fact: The 19 in Mutation has/costs 29.858648%, 34.124169%, 26.491984%, 9.308827%, 0.216373%, \-, 16.0902%.
Fact: The 20 in Mutation has/costs 28.752772%, 32.860311%, 26.950963%, 10.753226%, 0.682728%, \-, 16.3246%.
Fact: The 21 in Mutation has/costs 27.725887%, 31.686728%, 27.196747%, 12.031704%, 1.358934%, \-, 16.5593%.
Fact: The 22 in Mutation has/costs 26.769822%, 30.594082%, 27.26362%, 13.165675%, 2.2068%, \-, 16.7937%.
Fact: The 23 in Mutation has/costs 25.877495%, 29.57428%, 27.18009%, 14.173286%, 3.19485%, \-, 17.028%.
Fact: The 24 in Mutation has/costs 25.042737%, 28.620271%, 26.969975%, 15.069985%, 4.297032%, \-, 17.2628%.
Fact: The 25 in Mutation has/costs 24.260151%, 27.725887%, 26.653264%, 15.868996%, 5.428674%, 0.063027%, 17.4971%.
Fact: The Level in Mutation has/costs Stat ranges, Average.
Fact: The 20-31 in Mutation has/costs 32-43, 44-55, 56-67, 68-79, 80.
Fact: The 1 in Mutation has/costs 78.639302%, 21.360698%, \-, \-, \-, \-, 27.497113.
Fact: The 2 in Mutation has/costs 73.394659%, 26.605341%, \-, \-, \-, \-, 28.122354.
Fact: The 3 in Mutation has/costs 68.324508%, 31.675492%, \-, \-, \-, \-, 28.747609.
Fact: The 4 in Mutation has/costs 63.769541%, 35.863035%, 0.367424%, \-, \-, \-, 29.372689.
Fact: The 5 in Mutation has/costs 59.783944%, 38.74651%, 1.469546%, \-, \-, \-, 29.997769.
Fact: The 6 in Mutation has/costs 56.267242%, 40.641505%, 3.091253%, \-, \-, \-, 30.62295.
Fact: The 7 in Mutation has/costs 53.141284%, 41.782907%, 5.07581%, \-, \-, \-, 31.248075.
Fact: The 8 in Mutation has/costs 50.344374%, 42.345362%, 7.310264%, \-, \-, \-, 31.873185.
Fact: The 9 in Mutation has/costs 47.827155%, 42.460449%, 9.712396%, \-, \-, \-, 32.498309.
Fact: The 10 in Mutation has/costs 45.549672%, 42.22844%, 12.221888%, \-, \-, \-, 33.123349.
Fact: The 11 in Mutation has/costs 43.479232%, 41.726531%, 14.691906%, 0.102331%, \-, \-, 33.74839.
Fact: The 12 in Mutation has/costs 41.588831%, 41.01468%, 16.836194%, 0.560294%, \-, \-, 34.373487.
Fact: The 13 in Mutation has/costs 39.855963%, 40.139823%, 18.688263%, 1.315951%, \-, \-, 34.998556.
Fact: The 14 in Mutation has/costs 38.261724%, 39.138952%, 20.292079%, 2.307245%, \-, \-, 35.623619.
Fact: The 15 in Mutation has/costs 36.79012%, 38.041392%, 21.683839%, 3.484649%, \-, \-, 36.248692.
Fact: The 16 in Mutation has/costs 35.427523%, 36.870516%, 22.893551%, 4.80841%, \-, \-, 36.873716.
Fact: The 17 in Mutation has/costs 34.162254%, 35.645024%, 23.94626%, 6.246461%, \-, \-, 37.498741.
Fact: The 18 in Mutation has/costs 32.984245%, 34.418343%, 24.824588%, 7.742925%, 0.029899%, \-, 38.123801.
Fact: The 19 in Mutation has/costs 31.88477%, 33.271065%, 25.477789%, 9.112102%, 0.254274%, \-, 38.748845.
Fact: The 20 in Mutation has/costs 30.856229%, 32.197805%, 25.936075%, 10.341303%, 0.668588%, \-, 39.373886.
